lat,lng
11.10240348,76.96544856
11.10243616,76.96546389
11.10246883,76.96547921
11.10247377,76.96551552
11.10247871,76.96555184
11.10247226,76.9655879
11.10245528,76.96562022
11.10243831,76.96565254
11.10240618,76.96566903
11.10237328,76.96568385
11.10234037,76.96569866
11.10230528,76.96570673
11.10227811,76.9656827
11.10227551,76.96564614
11.10227291,76.96560958
11.10228108,76.96557388
11.10228924,76.96553817
11.10229937,76.965503
11.1023095,76.96546782
11.102338,76.96544545
11.10237307,76.96543732
11.10238956,76.96540474
11.10240605,76.96537215
